simulation,generation,rho,alpha
2,45,0.109375,0.2222222222222222
2,46,0.125,0.2222222222222222
2,47,0.09375,0.2222222222222222
2,48,0.140625,0.2222222222222222
2,49,0.125,0.2222222222222222
2,50,0.09375,0.2222222222222222
2,51,0.0625,0.2222222222222222
2,52,0.03125,0.2222222222222222
2,53,0.0625,0.2222222222222222
2,54,0.09375,0.2222222222222222
2,55,0.0625,0.2222222222222222
2,56,0.03125,0.2222222222222222
2,57,0.046875,0.2222222222222222
2,58,0.03125,0.2222222222222222
2,59,0.0625,0.2222222222222222
2,60,0.078125,0.2222222222222222
2,61,0.078125,0.2222222222222222
2,62,0.046875,0.2222222222222222
2,63,0.015625,0.2222222222222222
2,64,0.0,0.2222222222222222
3,0,1,0.2222222222222222
3,1,0.609375,0.2222222222222222
3,2,0.46875,0.2222222222222222
3,3,0.328125,0.2222222222222222
3,4,0.359375,0.2222222222222222
3,5,0.359375,0.2222222222222222
3,6,0.21875,0.2222222222222222
3,7,0.203125,0.2222222222222222
3,8,0.203125,0.2222222222222222
3,9,0.21875,0.2222222222222222
3,10,0.21875,0.2222222222222222
3,11,0.15625,0.2222222222222222
3,12,0.109375,0.2222222222222222
3,13,0.09375,0.2222222222222222
3,14,0.09375,0.2222222222222222
3,15,0.15625,0.2222222222222222
3,16,0.1875,0.2222222222222222
3,17,0.1875,0.2222222222222222
3,18,0.1875,0.2222222222222222
3,19,0.203125,0.2222222222222222
3,20,0.171875,0.2222222222222222
3,21,0.15625,0.2222222222222222
3,22,0.265625,0.2222222222222222
3,23,0.234375,0.2222222222222222
3,24,0.21875,0.2222222222222222
3,25,0.15625,0.2222222222222222
3,26,0.171875,0.2222222222222222
3,27,0.15625,0.2222222222222222
3,28,0.21875,0.2222222222222222
3,29,0.203125,0.2222222222222222
3,30,0.109375,0.2222222222222222
3,31,0.046875,0.2222222222222222
3,32,0.0625,0.2222222222222222
3,33,0.09375,0.2222222222222222
3,34,0.140625,0.2222222222222222
3,35,0.125,0.2222222222222222
3,36,0.140625,0.2222222222222222
3,37,0.125,0.2222222222222222
3,38,0.21875,0.2222222222222222
3,39,0.234375,0.2222222222222222
3,40,0.125,0.2222222222222222
3,41,0.171875,0.2222222222222222
3,42,0.15625,0.2222222222222222
3,43,0.203125,0.2222222222222222
3,44,0.203125,0.2222222222222222
3,45,0.125,0.2222222222222222
3,46,0.171875,0.2222222222222222
3,47,0.21875,0.2222222222222222
3,48,0.15625,0.2222222222222222
3,49,0.171875,0.2222222222222222
3,50,0.09375,0.2222222222222222
3,51,0.09375,0.2222222222222222
3,52,0.046875,0.2222222222222222
3,53,0.046875,0.2222222222222222
3,54,0.078125,0.2222222222222222
3,55,0.125,0.2222222222222222
3,56,0.078125,0.2222222222222222
3,57,0.0625,0.2222222222222222
3,58,0.078125,0.2222222222222222
3,59,0.0625,0.2222222222222222
3,60,0.046875,0.2222222222222222
3,61,0.078125,0.2222222222222222
3,62,0.078125,0.2222222222222222
3,63,0.125,0.2222222222222222
3,64,0.171875,0.2222222222222222
3,65,0.109375,0.2222222222222222
3,66,0.15625,0.2222222222222222
3,67,0.140625,0.2222222222222222
3,68,0.234375,0.2222222222222222
3,69,0.203125,0.2222222222222222
3,70,0.21875,0.2222222222222222
3,71,0.265625,0.2222222222222222
3,72,0.296875,0.2222222222222222
3,73,0.390625,0.2222222222222222
3,74,0.3125,0.2222222222222222
3,75,0.328125,0.2222222222222222
3,76,0.3125,0.2222222222222222
3,77,0.453125,0.2222222222222222
3,78,0.453125,0.2222222222222222
3,79,0.359375,0.2222222222222222
3,80,0.265625,0.2222222222222222
3,81,0.21875,0.2222222222222222
3,82,0.234375,0.2222222222222222
3,83,0.125,0.2222222222222222
3,84,0.140625,0.2222222222222222
3,85,0.109375,0.2222222222222222
3,86,0.15625,0.2222222222222222
3,87,0.125,0.2222222222222222
3,88,0.1875,0.2222222222222222
3,89,0.25,0.2222222222222222
3,90,0.28125,0.2222222222222222
3,91,0.3125,0.2222222222222222
3,92,0.328125,0.2222222222222222
3,93,0.28125,0.2222222222222222
3,94,0.15625,0.2222222222222222
3,95,0.171875,0.2222222222222222
3,96,0.1875,0.2222222222222222
3,97,0.1875,0.2222222222222222
3,98,0.125,0.2222222222222222
3,99,0.078125,0.2222222222222222
