delta,sigma/pext,simulation,generation,rho,alpha
0,0,1,21,0.3752,0.5555555555555556
0,0,1,22,0.3832,0.5555555555555556
0,0,1,23,0.3852,0.5555555555555556
0,0,1,24,0.384,0.5555555555555556
0,0,1,25,0.3824,0.5555555555555556
0,0,1,26,0.3724,0.5555555555555556
0,0,1,27,0.3564,0.5555555555555556
0,0,1,28,0.3636,0.5555555555555556
0,0,1,29,0.3584,0.5555555555555556
0,0,1,30,0.3556,0.5555555555555556
0,0,1,31,0.3532,0.5555555555555556
0,0,1,32,0.3572,0.5555555555555556
0,0,1,33,0.3568,0.5555555555555556
0,0,1,34,0.3404,0.5555555555555556
0,0,1,35,0.35,0.5555555555555556
0,0,1,36,0.3448,0.5555555555555556
0,0,1,37,0.334,0.5555555555555556
0,0,1,38,0.3252,0.5555555555555556
0,0,1,39,0.3344,0.5555555555555556
0,0,1,40,0.3292,0.5555555555555556
0,0,1,41,0.3376,0.5555555555555556
0,0,1,42,0.3408,0.5555555555555556
0,0,1,43,0.346,0.5555555555555556
0,0,1,44,0.3444,0.5555555555555556
0,0,1,45,0.3352,0.5555555555555556
0,0,1,46,0.3344,0.5555555555555556
0,0,1,47,0.3308,0.5555555555555556
0,0,1,48,0.3508,0.5555555555555556
0,0,1,49,0.348,0.5555555555555556
0,0,1,50,0.3588,0.5555555555555556
0,0,1,51,0.3608,0.5555555555555556
0,0,1,52,0.3644,0.5555555555555556
0,0,1,53,0.3672,0.5555555555555556
0,0,1,54,0.3588,0.5555555555555556
0,0,1,55,0.3644,0.5555555555555556
0,0,1,56,0.3692,0.5555555555555556
0,0,1,57,0.3836,0.5555555555555556
0,0,1,58,0.386,0.5555555555555556
0,0,1,59,0.3912,0.5555555555555556
0,0,1,60,0.3968,0.5555555555555556
0,0,1,61,0.3812,0.5555555555555556
0,0,1,62,0.3836,0.5555555555555556
0,0,1,63,0.3944,0.5555555555555556
0,0,1,64,0.3876,0.5555555555555556
0,0,1,65,0.3784,0.5555555555555556
0,0,1,66,0.368,0.5555555555555556
0,0,1,67,0.3784,0.5555555555555556
0,0,1,68,0.3748,0.5555555555555556
0,0,1,69,0.368,0.5555555555555556
0,0,1,70,0.3564,0.5555555555555556
0,0,1,71,0.3536,0.5555555555555556
0,0,1,72,0.3508,0.5555555555555556
0,0,1,73,0.352,0.5555555555555556
0,0,1,74,0.3416,0.5555555555555556
0,0,1,75,0.3328,0.5555555555555556
0,0,1,76,0.3176,0.5555555555555556
0,0,1,77,0.3092,0.5555555555555556
0,0,1,78,0.3228,0.5555555555555556
0,0,1,79,0.3348,0.5555555555555556
0,0,1,80,0.3416,0.5555555555555556
0,0,1,81,0.3396,0.5555555555555556
0,0,1,82,0.3316,0.5555555555555556
0,0,1,83,0.328,0.5555555555555556
0,0,1,84,0.3376,0.5555555555555556
0,0,1,85,0.3532,0.5555555555555556
0,0,1,86,0.3628,0.5555555555555556
0,0,1,87,0.3652,0.5555555555555556
0,0,1,88,0.37,0.5555555555555556
0,0,1,89,0.3748,0.5555555555555556
0,0,1,90,0.3704,0.5555555555555556
0,0,1,91,0.366,0.5555555555555556
0,0,1,92,0.354,0.5555555555555556
0,0,1,93,0.3432,0.5555555555555556
0,0,1,94,0.356,0.5555555555555556
0,0,1,95,0.3712,0.5555555555555556
0,0,1,96,0.372,0.5555555555555556
0,0,1,97,0.3768,0.5555555555555556
0,0,1,98,0.3624,0.5555555555555556
0,0,1,99,0.3408,0.5555555555555556
0,0,1,100,0.3448,0.5555555555555556
0,0,1,0,1,0.6666666666666666
0,0,1,1,0.706,0.6666666666666666
0,0,1,2,0.5828,0.6666666666666666
0,0,1,3,0.5092,0.6666666666666666
0,0,1,4,0.4704,0.6666666666666666
0,0,1,5,0.4424,0.6666666666666666
0,0,1,6,0.4292,0.6666666666666666
0,0,1,7,0.4096,0.6666666666666666
0,0,1,8,0.3904,0.6666666666666666
0,0,1,9,0.386,0.6666666666666666
0,0,1,10,0.378,0.6666666666666666
0,0,1,11,0.378,0.6666666666666666
0,0,1,12,0.3744,0.6666666666666666
0,0,1,13,0.3588,0.6666666666666666
0,0,1,14,0.3564,0.6666666666666666
0,0,1,15,0.3588,0.6666666666666666
0,0,1,16,0.3444,0.6666666666666666
0,0,1,17,0.3472,0.6666666666666666
0,0,1,18,0.3564,0.6666666666666666
0,0,1,19,0.35,0.6666666666666666
0,0,1,20,0.3568,0.6666666666666666
0,0,1,21,0.36,0.6666666666666666
0,0,1,22,0.36,0.6666666666666666
0,0,1,23,0.3652,0.6666666666666666
0,0,1,24,0.362,0.6666666666666666
0,0,1,25,0.3696,0.6666666666666666
0,0,1,26,0.374,0.6666666666666666
0,0,1,27,0.3916,0.6666666666666666
0,0,1,28,0.3904,0.6666666666666666
0,0,1,29,0.398,0.6666666666666666
0,0,1,30,0.3864,0.6666666666666666
0,0,1,31,0.3812,0.6666666666666666
0,0,1,32,0.3904,0.6666666666666666
0,0,1,33,0.3832,0.6666666666666666
0,0,1,34,0.3868,0.6666666666666666
0,0,1,35,0.3844,0.6666666666666666
0,0,1,36,0.376,0.6666666666666666
0,0,1,37,0.3884,0.6666666666666666
0,0,1,38,0.3732,0.6666666666666666
0,0,1,39,0.3736,0.6666666666666666
0,0,1,40,0.3816,0.6666666666666666
0,0,1,41,0.3872,0.6666666666666666
0,0,1,42,0.372,0.6666666666666666
0,0,1,43,0.382,0.6666666666666666
0,0,1,44,0.3724,0.6666666666666666
0,0,1,45,0.376,0.6666666666666666
0,0,1,46,0.3688,0.6666666666666666
0,0,1,47,0.3756,0.6666666666666666
0,0,1,48,0.3652,0.6666666666666666
0,0,1,49,0.376,0.6666666666666666
0,0,1,50,0.3604,0.6666666666666666
0,0,1,51,0.3604,0.6666666666666666
0,0,1,52,0.3688,0.6666666666666666
0,0,1,53,0.3612,0.6666666666666666
0,0,1,54,0.346,0.6666666666666666
