simulation,generation,rho,delta,sigma/pext,alpha
1,55,0.3656,0.25,0,0,0.4444444444444444
1,56,0.3664,0.25,0,0,0.4444444444444444
1,57,0.368,0.25,0,0,0.4444444444444444
1,58,0.3632,0.25,0,0,0.4444444444444444
1,59,0.3568,0.25,0,0,0.4444444444444444
1,60,0.3644,0.25,0,0,0.4444444444444444
1,61,0.36,0.25,0,0,0.4444444444444444
1,62,0.3572,0.25,0,0,0.4444444444444444
1,63,0.3416,0.25,0,0,0.4444444444444444
1,64,0.3428,0.25,0,0,0.4444444444444444
1,65,0.358,0.25,0,0,0.4444444444444444
1,66,0.3544,0.25,0,0,0.4444444444444444
1,67,0.3584,0.25,0,0,0.4444444444444444
1,68,0.3532,0.25,0,0,0.4444444444444444
1,69,0.3508,0.25,0,0,0.4444444444444444
1,70,0.3688,0.25,0,0,0.4444444444444444
1,71,0.3756,0.25,0,0,0.4444444444444444
1,72,0.3712,0.25,0,0,0.4444444444444444
1,73,0.3696,0.25,0,0,0.4444444444444444
1,74,0.3764,0.25,0,0,0.4444444444444444
1,75,0.3732,0.25,0,0,0.4444444444444444
1,76,0.378,0.25,0,0,0.4444444444444444
1,77,0.3672,0.25,0,0,0.4444444444444444
1,78,0.3676,0.25,0,0,0.4444444444444444
1,79,0.3628,0.25,0,0,0.4444444444444444
1,80,0.3536,0.25,0,0,0.4444444444444444
1,81,0.3504,0.25,0,0,0.4444444444444444
1,82,0.352,0.25,0,0,0.4444444444444444
1,83,0.3572,0.25,0,0,0.4444444444444444
1,84,0.3572,0.25,0,0,0.4444444444444444
1,85,0.3524,0.25,0,0,0.4444444444444444
1,86,0.3384,0.25,0,0,0.4444444444444444
1,87,0.3484,0.25,0,0,0.4444444444444444
1,88,0.3584,0.25,0,0,0.4444444444444444
1,89,0.3616,0.25,0,0,0.4444444444444444
1,90,0.3664,0.25,0,0,0.4444444444444444
1,91,0.3524,0.25,0,0,0.4444444444444444
1,92,0.3452,0.25,0,0,0.4444444444444444
1,93,0.3352,0.25,0,0,0.4444444444444444
1,94,0.3468,0.25,0,0,0.4444444444444444
1,95,0.3516,0.25,0,0,0.4444444444444444
1,96,0.3308,0.25,0,0,0.4444444444444444
1,97,0.3416,0.25,0,0,0.4444444444444444
